107,D0107,-117.1398,32.6282,-117.14575,32.62672,-10,253.55,1
108,D0108,-117.1401,32.629,-117.1462,32.62728,-10,251.49,1
109,D0109,-117.1405,32.6299,-117.14629,32.62793,-10.01,248,1
110,D0110,-117.1409,32.6307,-117.14686,32.62857,-10,247.01,1
111,D0111,-117.1413,32.6315,-117.14754,32.62938,-10,248.03,1
112,D0112,-117.1417,32.6324,-117.14822,32.63018,-9.99,247.99,1
113,D0113,-117.1421,32.6332,-117.14874,32.63117,-10.01,250.05,1
114,D0114,-117.1424,32.634,-117.14916,32.6321,-10,251.54,1
115,D0115,-117.1428,32.6349,-117.14954,32.63266,-10.01,248.46,1
116,D0116,-117.1432,32.6357,-117.14976,32.63307,-10,244.54,1
117,D0117,-117.1437,32.6365,-117.15031,32.6339,-10,244.96,1
118,D0118,-117.1441,32.6373,-117.15102,32.635,-10.07,248.46,1
119,D0119,-117.1445,32.6382,-117.15151,32.63587,-10,248.46,1
120,D0120,-117.1449,32.639,-117.15193,32.63667,-9.96,248.52,1
121,D0121,-117.1453,32.6399,-117.15242,32.63754,-10.01,248.51,1
122,D0122,-117.1457,32.6407,-117.15263,32.63822,-10,246.98,1
123,D0123,-117.1461,32.6415,-117.15333,32.63934,-10.01,250.47,2
124,D0124,-117.1464,32.6424,-117.15386,32.64024,-10,251.02,1
125,D0125,-117.1468,32.6432,-117.15433,32.6407,-10,248.48,1
126,D0126,-117.1472,32.6441,-117.15495,32.64179,-10.01,250.51,2
127,D0127,-117.1475,32.6449,-117.15514,32.64231,-10,248.07,2
128,D0128,-117.148,32.6458,-117.15526,32.64249,-10,241.57,2
129,D0129,-117.1485,32.6465,-117.15565,32.64309,-9.99,240.47,1
130,D0130,-117.149,32.6473,-117.1561,32.64385,-10.01,240.01,1
131,D0131,-117.1496,32.6481,-117.15681,32.6446,-10,240.04,1
132,D0132,-117.1501,32.6489,-117.15696,32.64521,-10.01,237.43,1
133,D0133,-117.1507,32.6496,-117.15723,32.64561,-10.01,234.03,1
134,D0134,-117.1513,32.6503,-117.15797,32.64651,-10,235.99,1
135,D0135,-117.1519,32.6511,-117.15879,32.64741,-10,237.54,1
136,D0136,-117.1525,32.6519,-117.15952,32.64875,-10,241.95,1
137,D0137,-117.1529,32.6527,-117.16069,32.64964,-10,244.99,1
138,D0138,-117.1534,32.6535,-117.16096,32.65046,-10,244.47,1
139,D0139,-117.1538,32.6543,-117.16138,32.65133,-10,245.04,1
140,D0140,-117.1543,32.6551,-117.16187,32.65171,-10,241.99,1
141,D0141,-117.1548,32.6559,-117.16268,32.65237,-10,241.98,1
142,D0142,-117.1553,32.6567,-117.16306,32.65323,-10.01,242.03,1
143,D0143,-117.1558,32.6575,-117.16389,32.65411,-10,243.54,2
144,D0144,-117.1562,32.6584,-117.16431,32.65461,-10,240.97,1
145,D0145,-117.1568,32.6591,-117.16491,32.65524,-10,240.52,2
146,D0146,-117.1573,32.6599,-117.16567,32.65583,-10,239.99,1
147,D0147,-117.1579,32.6607,-117.16592,32.65606,-10.01,235.5,1
148,D0148,-117.1585,32.6614,-117.16675,32.65698,-10,237.53,1
149,D0149,-117.159,32.6622,-117.1675,32.6577,-10.07,237.84,1
150,D0150,-117.1596,32.6629,-117.16789,32.65828,-10,236.5,1
151,D0151,-117.1602,32.6637,-117.16827,32.65869,-10,233.59,1
152,D0152,-117.1609,32.6644,-117.1684,32.65955,-10.01,232.47,1
153,D0153,-117.1615,32.6651,-117.16875,32.66091,-10,235.53,2
154,D0154,-117.1621,32.6659,-117.16934,32.66129,-10,232.9,2
155,D0155,-117.1628,32.6666,-117.16954,32.6614,-10,227.5,1
156,D0156,-117.1635,32.6672,-117.16961,32.66144,-10,221.77,2
157,D0157,-117.1644,32.6678,-117.17036,32.66181,-10,219.95,2
158,D0158,-117.1652,32.6684,-117.17136,32.66293,-10,223.47,1
159,D0159,-117.1659,32.669,-117.17211,32.66359,-10,224.02,1
160,D0160,-117.1667,32.6696,-117.17306,32.66434,-10,225.51,2
161,D0161,-117.1674,32.6703,-117.17371,32.665,-10.01,225.06,1
162,D0162,-117.1682,32.6709,-117.17413,32.66535,-10,221.97,1
163,D0163,-117.169,32.6715,-117.17516,32.66603,-10,223.47,1
164,D0164,-117.1697,32.6721,-117.17582,32.66677,-10,224.03,1
165,D0165,-117.1705,32.6727,-117.17667,32.66732,-9.99,223.99,1
166,D0166,-117.1713,32.6734,-117.17755,32.66795,-10,223.99,1
167,D0167,-117.1721,32.674,-117.17811,32.66838,-10,221.99,1
168,D0168,-117.1729,32.6746,-117.17891,32.66898,-10,221.99,2
169,D0169,-117.1737,32.6752,-117.17988,32.66932,-10,221.5,2
170,D0170,-117.1745,32.6758,-117.18089,32.67014,-10,223.54,2
171,D0171,-117.1752,32.6764,-117.18182,32.67053,-10.01,223.51,2
172,D0172,-117.176,32.677,-117.18287,32.67101,-10,223.99,2
173,D0173,-117.1768,32.6777,-117.18382,32.67148,-10,223.53,2
174,D0174,-117.1776,32.6783,-117.18452,32.67172,-10,221.52,2
175,D0175,-117.1784,32.6789,-117.18633,32.67268,-10,227.02,2
176,D0176,-117.179,32.6796,-117.18748,32.67335,-10,228.8,2
177,D0177,-117.1797,32.6802,-117.18781,32.67361,-10,226.01,2
178,D0178,-117.1805,32.6809,-117.18798,32.6737,-10,221.17,2
179,D0179,-117.1813,32.6814,-117.18846,32.67395,-10,218.97,2
180,D0180,-117.1822,32.682,-117.19032,32.67356,-10,219,2
181,D0181,-117.183,32.6826,-117.1912,32.67358,-10,217.42,2
182,D0182,-117.1838,32.6831,-117.1912,32.67358,-10,213.2,2
183,D0183,-117.1848,32.6836,-117.1912,32.67358,-10,208.26,2
184,D0184,-117.1857,32.684,-117.19366,32.67167,-9.98,208.52,2
185,D0185,-117.1866,32.6845,-117.19467,32.67143,-10,207.46,2
186,D0186,-117.1876,32.6849,-117.19467,32.67143,-10,203.84,2
187,D0187,-117.1886,32.6852,-117.19493,32.67131,-10,200.99,2
188,D0188,-117.1896,32.6855,-117.19557,32.67089,-10,198.98,2
189,D0189,-117.1905,32.6859,-117.1963,32.67,-10.07,197.07,2
190,D0190,-117.1916,32.6861,-117.1963,32.67,-10.07,193.81,2
191,D0191,-117.1926,32.6863,-117.1963,32.67,-10.07,190.82,2
192,D0192,-117.1937,32.6864,-117.19797,32.66875,-10,191.51,2
193,D0193,-117.1947,32.6866,-117.20069,32.66637,-10,194,2
194,D0194,-117.1957,32.6869,-117.20184,32.66417,-9.98,192.81,2
195,D0195,-117.1967,32.6871,-117.20184,32.66417,-9.98,190.69,2
196,D0196,-117.1978,32.6873,-117.20184,32.66417,-9.98,188.36,2
197,D0197,-117.1988,32.6875,-117.20184,32.66417,-9.98,186.26,2
198,D0198,-117.1999,32.6875,-117.20184,32.66417,-9.98,184,2
199,D0199,-117.201,32.6875,-117.20184,32.66417,-9.98,181.74,2
200,D0200,-117.202,32.6875,-117.20184,32.66417,-9.98,179.67,2
201,D0201,-117.2031,32.6875,-117.2031,32.66219,-10,180,2
202,D0202,-117.2042,32.6876,-117.20365,32.66098,-10,179,2
203,D0203,-117.2052,32.6876,-117.20365,32.66098,-10,177.19,2
204,D0204,-117.2063,32.6875,-117.20365,32.66098,-10,175.19,2
205,D0205,-117.2074,32.6875,-117.20365,32.66098,-10,173.21,2
206,D0206,-117.2084,32.6874,-117.20365,32.66098,-10,171.39,2
207,D0207,-117.2095,32.6874,-117.20365,32.66098,-10,169.44,2
208,D0208,-117.2105,32.6873,-117.20365,32.66098,-10,167.64,2
209,D0209,-117.2116,32.6873,-117.20365,32.66098,-10,165.73,2
210,D0210,-117.2127,32.6872,-117.20365,32.66098,-10,163.8,2
211,D0211,-117.2137,32.6871,-117.20365,32.66098,-10,162.05,2
212,D0212,-117.2148,32.6869,-117.20365,32.66098,-10,160.09,2
213,D0213,-117.2158,32.6867,-117.20365,32.66098,-10,158.31,2
214,D0214,-117.2168,32.6864,-117.20365,32.66098,-10,156.47,2
215,D0215,-117.2178,32.6861,-117.20365,32.66098,-10,154.63,2
216,D0216,-117.2188,32.6857,-117.20365,32.66098,-10,152.71,2
217,D0217,-117.2198,32.6854,-117.20365,32.66098,-10,150.89,2
218,D0218,-117.2208,32.685,-117.20365,32.66098,-10,148.99,2
219,D0219,-117.2217,32.6846,-117.20365,32.66098,-10,147.24,2
220,D0220,-117.2226,32.6842,-117.20365,32.66098,-10,145.51,2
221,D0221,-117.2233,32.6835,-117.20365,32.66098,-10,143.7,0
222,D0222,-117.2235,32.6826,-117.20365,32.66098,-10,142.3,0
223,D0223,-117.2235,32.6817,-117.20365,32.66098,-10,141.11,0
224,D0224,-117.2242,32.6811,-117.20365,32.66098,-10,139.31,0
225,D0225,-117.225,32.6805,-117.20411,32.66063,-10,138.49,0
226,D0226,-117.2258,32.6799,-117.20425,32.66042,-10.01,137.04,0
227,D0227,-117.2266,32.6793,-117.20425,32.66042,-10.01,135.1,0
228,D0228,-117.2274,32.6786,-117.2274,32.6786,-10.08,999.99,0
229,D0229,-117.2281,32.678,-117.2281,32.678,-13.4,999.99,0
230,D0230,-117.2289,32.6774,-117.2289,32.67739,-14.49,180,0
231,D0231,-117.2297,32.6768,-117.2297,32.6768,-14.88,999.99,0
232,D0232,-117.2305,32.6762,-117.2305,32.6762,-15.67,999.99,0
233,D0233,-117.2313,32.6756,-117.2313,32.67559,-16.74,180,0
234,D0234,-117.232,32.675,-117.232,32.675,-13.13,999.99,0
235,D0235,-117.2328,32.6743,-117.2325,32.67424,-10.53,103.37,0
